Open,High,Low,Close
3312.899902,3337.25,3290,3331
3333,3369.800049,3272,3281.949951
3280,3304.399902,3209.399902,3214.949951
3250,3260.350098,3192,3198.899902
3208,3219.800049,3172,3185
3150.5,3221.399902,3144,3179.300049
3169.649902,3169.649902,3095.050049,3143.300049
3143.300049,3156.75,3097.449951,3106.100098
3130.050049,3143.5,3106.100098,3130.800049
3114.899902,3146.350098,3101,3124.649902
3148.899902,3170,3106,3120.5
3135,3152.75,3106,3122.300049
3127,3149.550049,3110.149902,3115.899902
3129,3150,3104.100098,3138.899902
3189.949951,3213,3152,3205.899902
3224.949951,3224.949951,3173.75,3200
3185.5,3264.350098,3185.5,3239.800049
3225,3257.350098,3215,3220.699951
3220,3272,3215,3263.399902
3264,3272.949951,3192.149902,3213.800049
3227.949951,3260.949951,3199,3241.649902
3210,3230,3180,3188.850098
3134.100098,3163.399902,3070.25,3139.5
3154.949951,3156.850098,3110.600098,3130.75
3130.75,3140,3071.5,3089.600098
3090,3113,3078,3104.800049
3110,3164.449951,3100.800049,3160.850098
3151.100098,3180.949951,3126.149902,3174.800049
3183,3191.199951,3147.5,3176
3181,3208.399902,3181,3198.149902
3185,3199.199951,3170.649902,3187.949951
3200.399902,3227.25,3196.25,3219.25
3235,3235,3210,3219.399902
3216,3216,3173.149902,3179.899902
3180.149902,3224.449951,3178,3220.699951
3220,3244,3210.050049,3230.699951
3245,3254.850098,3231.300049,3250.600098
3252.600098,3298,3246,3283.25
3290,3306.5,3266.050049,3286.800049
3309,3309.699951,3272,3282.149902
3279.149902,3290,3260,3274.300049
3284,3292,3248.350098,3255.050049
3256.199951,3285,3250.449951,3258.149902
3255.949951,3280,3198.25,3208.699951
3225.949951,3228.949951,3195,3199.850098
3210,3234.5,3203.050049,3222.850098
3230,3308.449951,3217.050049,3298.699951
3306,3327.949951,3290.100098,3297.050049
3276,3317.199951,3276,3303.350098
3294,3306,3267.100098,3293.5
3293.5,3338.649902,3291,3328.899902
3360.800049,3372,3312,3320.350098
3315,3326.949951,3301.350098,3316.199951
3309,3327.699951,3265.149902,3289.5
3314,3340,3297.5,3324
3326.25,3335.899902,3297.449951,3305.600098
3315,3327,3285.050049,3288.899902
3280,3288.850098,3220.600098,3232.300049
3253,3278.850098,3241,3274.899902
3261,3270,3233,3236.449951
3245,3250,3205.350098,3209.300049
3215,3254.399902,3211,3246.899902
3260,3265,3239,3243.699951
3243.699951,3255.850098,3225.850098,3251.050049
3245.300049,3247.449951,3210,3216.300049
3197,3199.399902,3156,3174.899902
3190,3214.899902,3175,3210.399902
3214,3232.5,3201.050049,3227.699951
3250,3261.399902,3223.949951,3258.199951
3260,3267.649902,3230.100098,3238.5
3237.300049,3249.399902,3209.149902,3216.350098
3205,3213.899902,3173,3189.649902
3202,3209.649902,3182.300049,3197.350098
3197.350098,3197.350098,3197.350098,3197.350098
3220,3310,3214.100098,3302.25
3314.300049,3318.800049,3268.75,3272.300049
3290,3315,3277.300049,3308.850098
3320,3329,3305,3319.949951
3306.550049,3328.449951,3302,3322.899902
3302,3356.899902,3302,3329.25
3324.75,3324.75,3265.199951,3271.949951
3295,3295,3260.800049,3272.399902
3280.949951,3289.149902,3250.100098,3259.899902
3284,3367.449951,3272.75,3340.550049
3365,3524.850098,3352,3514.649902
3510,3549.899902,3477.050049,3491.699951
3476,3524,3465,3496.850098
3500,3516.850098,3445.649902,3470.050049
3453.100098,3478.899902,3436.050049,3463.300049
3404.050049,3434.899902,3359.050049,3368.300049
3381,3413.449951,3372.100098,3394.75
3397.5,3406.800049,3380.199951,3399.149902
3400.350098,3420.850098,3385,3388.300049
3394.949951,3411.649902,3385.050049,3396.899902
3385,3393.699951,3331,3355.399902
3364.399902,3426.649902,3360.899902,3421.449951
3415,3460,3415,3452.050049
3434.949951,3446.399902,3413.600098,3440.649902
3420,3433.25,3368,3399.949951
3401.25,3471,3401.25,3443.550049
3453.949951,3488,3441.25,3484.050049
3484.050049,3489.949951,3456.600098,3470.600098
3464.899902,3467,3425.050049,3462.5
3450,3464.899902,3430.949951,3440.550049
