Open,High,Low,Close
386.649994,390.299988,384.200012,387.350006
387.350006,390,384.75,388.549988
388.549988,398.100006,388,396
397.75,397.799988,392.100006,393.549988
395.5,396.600006,393.700012,395.600006
392.899994,402,392.899994,400.149994
400,402,397,398.5
396.049988,401.350006,396,398.75
400,402.649994,397.700012,400.299988
400.299988,409,399.049988,408.25
410,410,404.200012,408.700012
408.700012,413.549988,407.399994,411.549988
412,413,409.049988,412.25
412.200012,417.399994,411,416
418,428.25,413.700012,425.549988
426,427,421.200012,424.450012
424,428.5,422.049988,427.149994
425.299988,427,424,424.600006
425.950012,431.899994,424.350006,428.75
431,433.450012,429.350006,431.450012
432.799988,433.149994,421.5,423.799988
423.950012,426.350006,422.200012,425.350006
427.25,427.399994,418.899994,420.399994
420.399994,422.700012,416.049988,420.450012
420,428.700012,419.049988,427.799988
430,430,423.5,423.950012
424.149994,428.950012,422.600006,427.600006
430,432.450012,418.100006,419.700012
420.950012,423.100006,411.350006,419.850006
421.950012,425.75,419.100006,424.75
426,431.200012,424.200012,429.149994
428.299988,434.75,427,433.5
436.950012,442.450012,434.799988,441.149994
443.399994,444.75,439.5,443.600006
445,451.799988,444.100006,449.100006
441,451.450012,441,449.899994
449.299988,452,442.450012,445.5
447,447,439,439.700012
440,444.899994,439.799988,443.399994
445,446.850006,440.100006,440.649994
440.799988,443.600006,440.399994,442.799988
444,445.649994,442.75,443.950012
445.700012,445.75,441.899994,442.899994
435.149994,444.700012,435.149994,438.450012
440,440.950012,433.850006,436.950012
441,446.399994,438.299988,445.399994
446.25,447.75,443.75,444.5
445,448.75,444.75,448.100006
449,455.600006,447.899994,453.100006
454.75,455.899994,452.25,453.600006
454.799988,454.799988,450.149994,452.850006
452,454.200012,445.049988,447.049988
448,449.649994,445.850006,447.649994
447.5,447.649994,442.700012,444.75
446.899994,451.399994,444,445.700012
446.100006,447.200012,443.149994,445.100006
445.100006,445.100006,445.100006,445.100006
450,451.950012,446.600006,451.600006
451.600006,465.950012,450.049988,463.25
465,468,459.799988,466.350006
466.350006,480.649994,464.299988,475.100006
477.350006,477.399994,470.5,473.899994
473,475.5,467.600006,468.399994
470,470.899994,463.700012,465.850006
466,474.549988,466,473.149994
477.75,477.75,470.450012,472.299988
473.899994,476.75,471,472
473,475,471.350006,472.899994
474.5,475.799988,470.600006,472.350006
472.549988,474.200012,471,472.5
472.75,480.450012,468.100006,478.850006
479.899994,493.700012,476.299988,492.149994
491.799988,497.700012,487,490.450012
493.450012,499.700012,468.149994,471.350006
467.899994,468.5,455.399994,462.299988
464.899994,473,462.049988,472.25
474.399994,475.149994,461.100006,465.049988
467.700012,469.450012,463.399994,468.450012
469,469.700012,463.5,465.700012
466,468.850006,463.799988,464.799988
464.600006,464.799988,458,460.100006
460.100006,463.75,454.299988,456.049988
456.299988,461.399994,454.25,454.950012
454.100006,456.549988,450.950012,454.899994
457,457,451.049988,452.350006
452.350006,459.899994,446.899994,458.649994
458.899994,459.299988,453.299988,454.5
